,pfx_x,pfx_z,launch_speed,release_speed,release_spin_rate,total_movement,strikeout,hbp_bb,home_run,pitch_type_CH,pitch_type_CS,pitch_type_CU,pitch_type_EP,pitch_type_FA,pitch_type_FC,pitch_type_FF,pitch_type_FO,pitch_type_FS,pitch_type_KC,pitch_type_KN,pitch_type_SI,pitch_type_SL,pitch_type_ST,pitch_type_SV
146,1.3769047619047619,0.24476190476190474,87.8,85.9,1985.1904761904761,1.3984902979208274,0.010309278350515464,0.0,0.010309278350515464,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
148,1.1487500000000002,0.9225,82.7,87.7,1863.25,1.4733067611668658,0.041666666666666664,0.011904761904761904,0.005952380952380952,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149,0.9111538461538462,0.4152307692307692,80.7,85.4,1375.5615384615385,1.0013081059678501,0.02914798206278027,0.011210762331838564,0.004484304932735426,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,0.911111111111111,0.4961111111111111,90.4,84.2,1498.9444444444443,1.0374245473083932,0.04225352112676056,0.04225352112676056,0.014084507042253521,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151,0.9962962962962962,0.4303703703703704,84.4,84.4,1529.4444444444443,1.0852764466745084,0.041666666666666664,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
152,1.3036363636363637,0.4954545454545455,84.7,86.1,1477.7272727272727,1.3946121235693498,0.047058823529411764,0.011764705882352941,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
153,1.0483116883116883,0.3407792207792208,85.8,87.7,1703.5584415584415,1.1023102436092098,0.020477815699658702,0.013651877133105802,0.017064846416382253,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155,1.219607843137255,0.8431372549019608,83.0,85.9,1882.2549019607843,1.48267451642143,0.037914691943127965,0.04739336492890995,0.009478672985781991,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
157,0.975,0.5314666666666666,82.1,81.4,1542.3666666666666,1.1104421721898794,0.07751937984496124,0.03488372093023256,0.005813953488372093,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
158,1.1717948717948719,0.4517948717948718,87.6,81.4,1958.820512820513,1.255874925199522,0.0641025641025641,0.038461538461538464,0.01282051282051282,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
159,1.5465671641791046,0.6382089552238805,80.8,85.7,2189.1641791044776,1.6730752116521703,0.06167400881057269,0.022026431718061675,0.004405286343612335,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
162,1.032142857142857,1.0164285714285715,77.2,81.9,1834.357142857143,1.4486013662727737,0.0,0.03225806451612903,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163,1.071969696969697,0.4525757575757576,80.6,82.7,1478.1666666666667,1.1635909279323962,0.03056768558951965,0.004366812227074236,0.004366812227074236,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164,1.481153846153846,0.12653846153846154,81.6,85.3,2183.8846153846152,1.486549258593489,0.0423728813559322,0.025423728813559324,0.00847457627118644,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165,1.4414666666666667,0.8141333333333334,82.0,87.6,2383.4266666666667,1.6554876126252216,0.029288702928870293,0.029288702928870293,0.012552301255230125,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
166,1.1257142857142857,0.4280952380952381,86.4,85.8,1684.8333333333333,1.2043663005668346,0.04938271604938271,0.027777777777777776,0.009259259259259259,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
167,0.6946153846153846,1.0905128205128205,83.3,78.3,1404.2307692307693,1.2929457622991019,0.017094017094017096,0.03418803418803419,0.008547008547008548,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
